Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,55,7,878.14,Failed,Delivered
2,28,5,666.45,Failed,Shipped
3,89,5,616.21,Pending,Processing
4,8,1,316.67,Paid,Processing
5,97,6,403.82,Failed,Processing
6,38,6,137.85,Pending,Processing
7,86,1,173.71,Failed,Processing
8,37,1,845.95,Pending,Delivered
9,73,5,133.01,Pending,Delivered
10,39,10,202.06,Failed,Delivered
11,12,2,671.5,Paid,Shipped
12,98,8,625.91,Paid,Cancelled
13,96,7,634.08,Paid,Shipped
14,10,8,721.63,Paid,Delivered
15,9,6,598.86,Failed,Cancelled
16,74,8,571.95,Failed,Cancelled
17,40,8,244.74,Pending,Shipped
18,58,8,64.11,Paid,Shipped
19,18,1,336.69,Failed,Processing
20,6,9,43.53,Pending,Processing
