Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,50,5,907.59,Pending,Cancelled
2,55,10,250.84,Paid,Delivered
3,73,8,762.11,Pending,Shipped
4,41,9,409.3,Pending,Delivered
5,82,1,712.9,Paid,Shipped
6,59,1,687.94,Paid,Delivered
7,50,9,577.42,Paid,Delivered
8,50,10,248.79,Pending,Processing
9,22,7,111.45,Paid,Processing
10,30,8,852.09,Paid,Processing
11,38,4,467.19,Paid,Delivered
12,65,9,324.57,Paid,Shipped
13,9,10,480.09,Failed,Processing
14,61,6,901.67,Failed,Processing
15,34,2,698.03,Pending,Shipped
16,86,4,247.36,Pending,Processing
17,95,1,984.97,Paid,Shipped
18,13,1,995.18,Pending,Shipped
19,71,3,254.8,Pending,Delivered
20,100,6,356.06,Paid,Cancelled
