Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,13,5,713.43,Paid,Processing
2,25,3,40.34,Paid,Delivered
3,98,10,343.39,Paid,Cancelled
4,16,2,369.18,Paid,Shipped
5,18,7,778.16,Pending,Shipped
6,18,1,60.19,Paid,Shipped
7,28,3,499.77,Failed,Delivered
8,45,7,24.63,Failed,Processing
9,78,2,538.66,Pending,Cancelled
10,84,8,545.33,Pending,Cancelled
11,36,10,818.36,Failed,Processing
12,61,1,245.45,Pending,Cancelled
13,72,1,209.27,Pending,Cancelled
14,86,10,228.16,Pending,Processing
15,100,8,968.08,Pending,Shipped
16,52,6,373.24,Paid,Cancelled
17,45,6,122.35,Paid,Shipped
18,97,2,879.6,Pending,Processing
19,95,10,733.84,Failed,Delivered
20,75,1,257.25,Pending,Processing
21,65,1,628.66,Failed,Cancelled
22,44,2,927.62,Paid,Shipped
23,84,9,320.19,Pending,Shipped
24,93,4,847.86,Pending,Shipped
25,85,4,550.88,Pending,Delivered
