Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,54,10,772.08,Failed,Processing
2,72,6,386.02,Paid,Shipped
3,43,1,154.37,Failed,Cancelled
4,20,4,948.22,Failed,Processing
5,16,7,376.35,Pending,Delivered
6,71,2,865.04,Paid,Cancelled
7,51,5,663.36,Pending,Delivered
8,28,10,660.8,Failed,Processing
9,64,6,822.76,Pending,Shipped
10,29,4,550.43,Pending,Shipped
11,69,1,191.74,Paid,Shipped
12,60,9,676.56,Pending,Shipped
13,14,9,905.73,Failed,Cancelled
14,28,9,706.5,Paid,Shipped
15,18,10,177.41,Pending,Processing
16,59,6,602.58,Paid,Processing
17,23,2,254.87,Pending,Processing
18,39,10,344.61,Paid,Shipped
19,14,6,499.03,Paid,Processing
20,29,5,743.49,Pending,Cancelled
21,16,4,180.8,Failed,Processing
22,18,6,98.09,Paid,Processing
23,77,2,322.5,Pending,Cancelled
24,16,8,359.58,Paid,Delivered
25,44,7,269.45,Failed,Delivered
