Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,59,3,45.03,Failed,Cancelled
2,91,9,56.5,Paid,Shipped
3,33,6,182.87,Failed,Processing
4,93,6,306.8,Failed,Processing
5,35,9,37.66,Failed,Delivered
6,1,1,281.72,Failed,Cancelled
7,74,2,913.43,Paid,Delivered
8,65,2,14.81,Failed,Processing
9,5,1,217.5,Paid,Shipped
10,37,6,637.07,Pending,Delivered
11,64,4,238.98,Failed,Shipped
12,56,10,663.18,Pending,Processing
13,41,6,312.86,Pending,Delivered
14,47,9,714.39,Pending,Cancelled
15,9,9,414.55,Paid,Shipped
16,84,3,723.89,Paid,Shipped
17,65,8,752.58,Pending,Delivered
18,36,8,922.25,Failed,Shipped
19,18,10,223.21,Pending,Processing
20,5,9,931.61,Pending,Shipped
