Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,69,1,462.44,Failed,Delivered
2,34,5,950.84,Failed,Processing
3,52,5,270.73,Paid,Shipped
4,55,2,762.41,Pending,Processing
5,99,6,900.4,Paid,Processing
6,6,5,508.86,Pending,Processing
7,11,10,754.53,Paid,Delivered
8,11,2,157.84,Pending,Delivered
9,89,10,855.14,Failed,Shipped
10,50,7,563.35,Paid,Cancelled
11,20,10,703.36,Failed,Shipped
12,83,8,221.2,Pending,Processing
13,83,4,843.13,Failed,Processing
14,21,9,805.13,Failed,Cancelled
15,22,9,552.22,Paid,Processing
16,27,8,10.44,Pending,Delivered
17,54,2,905.34,Pending,Processing
18,72,3,775.21,Paid,Processing
19,75,8,581.76,Paid,Shipped
20,3,5,231.03,Pending,Processing
21,76,7,735.62,Paid,Processing
22,84,4,447.47,Failed,Processing
23,2,2,449.51,Paid,Processing
24,67,8,984.95,Pending,Delivered
25,5,10,471.92,Pending,Delivered
