Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,16,8,286.23,Failed,Processing
2,84,2,73.82,Paid,Processing
3,14,1,105.98,Failed,Processing
4,100,3,67.22,Failed,Delivered
5,59,6,467.86,Failed,Shipped
6,59,1,575.14,Paid,Processing
7,2,4,844.34,Pending,Shipped
8,3,7,401.11,Pending,Cancelled
9,2,9,205.07,Paid,Shipped
10,85,7,196.12,Failed,Cancelled
11,45,5,520.32,Failed,Cancelled
12,47,4,60.11,Failed,Shipped
13,14,7,288.05,Failed,Processing
14,11,3,588.26,Failed,Processing
15,91,10,195.61,Paid,Delivered
16,64,5,646.47,Paid,Shipped
17,3,9,118.39,Failed,Processing
18,39,2,501.47,Failed,Processing
19,35,3,258.82,Paid,Processing
20,65,7,868.68,Paid,Processing
