Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,93,5,972.91,Failed,Delivered
2,33,3,79.83,Pending,Shipped
3,7,3,984.6,Paid,Shipped
4,38,8,770.28,Paid,Shipped
5,44,5,366.01,Paid,Shipped
6,42,4,709.55,Paid,Cancelled
7,93,6,179.07,Pending,Delivered
8,97,9,145.73,Failed,Cancelled
9,13,6,234.98,Failed,Processing
10,81,7,428.64,Pending,Shipped
11,41,5,686.04,Pending,Cancelled
12,15,1,390.21,Failed,Processing
13,81,6,195.01,Paid,Shipped
14,47,8,371.87,Failed,Delivered
15,49,9,177.89,Paid,Cancelled
16,22,2,12.27,Failed,Delivered
17,15,3,888.22,Paid,Processing
18,28,6,560.45,Failed,Shipped
19,75,2,55.63,Paid,Delivered
20,41,8,129.11,Pending,Shipped
21,59,6,233.63,Paid,Processing
22,58,10,912.47,Paid,Cancelled
23,99,5,447.34,Failed,Shipped
24,21,6,218.83,Failed,Processing
25,44,9,923.45,Paid,Cancelled
