Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,66,1,12.22,Failed,Cancelled
2,53,7,172.79,Pending,Cancelled
3,72,10,283.33,Pending,Cancelled
4,37,4,887.73,Pending,Cancelled
5,12,2,952.42,Pending,Cancelled
6,8,10,392.92,Paid,Shipped
7,11,9,752.53,Paid,Delivered
8,62,4,911.96,Pending,Delivered
9,87,10,293.94,Pending,Processing
10,99,6,799.1,Pending,Shipped
11,43,7,114.02,Failed,Cancelled
12,94,3,60.0,Paid,Shipped
13,83,9,24.91,Pending,Processing
14,84,3,248.83,Failed,Cancelled
15,7,9,562.17,Paid,Processing
16,51,7,185.52,Paid,Cancelled
17,90,3,566.47,Paid,Delivered
18,85,8,297.97,Failed,Delivered
19,42,5,599.77,Paid,Processing
20,91,10,776.79,Paid,Delivered
