Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,36,6,554.27,Pending,Processing
2,97,3,331.58,Paid,Delivered
3,63,9,204.69,Paid,Delivered
4,86,4,806.42,Pending,Processing
5,54,10,569.18,Paid,Delivered
6,40,2,293.89,Pending,Shipped
7,63,10,869.68,Failed,Cancelled
8,63,7,992.36,Paid,Processing
9,83,5,356.57,Paid,Shipped
10,95,5,96.89,Pending,Processing
11,91,10,702.9,Paid,Delivered
12,89,8,349.19,Pending,Cancelled
13,60,2,700.96,Pending,Delivered
14,70,8,162.36,Paid,Delivered
15,52,9,141.35,Pending,Shipped
16,87,6,907.03,Failed,Delivered
17,7,5,645.45,Pending,Delivered
18,8,9,127.59,Failed,Cancelled
19,79,2,761.76,Pending,Delivered
20,78,2,490.81,Paid,Shipped
