Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,90,4,464.87,Paid,Delivered
2,85,4,236.05,Pending,Processing
3,48,7,266.1,Pending,Cancelled
4,41,6,668.95,Failed,Delivered
5,31,9,292.78,Paid,Delivered
6,16,3,88.69,Paid,Delivered
7,62,9,746.58,Paid,Cancelled
8,78,4,471.83,Pending,Delivered
9,16,4,135.48,Failed,Shipped
10,37,4,321.94,Pending,Cancelled
11,74,1,777.78,Paid,Processing
12,74,8,895.85,Paid,Shipped
13,46,4,946.74,Pending,Cancelled
14,34,1,935.93,Failed,Delivered
15,30,8,536.92,Paid,Delivered
16,51,9,654.22,Failed,Processing
17,77,7,670.57,Failed,Shipped
18,58,7,19.5,Paid,Cancelled
19,6,3,252.78,Pending,Processing
20,59,3,751.69,Failed,Shipped
