Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,17,2,779.89,Pending,Shipped
2,25,7,496.38,Pending,Delivered
3,1,4,896.1,Paid,Cancelled
4,49,3,754.07,Paid,Delivered
5,89,8,894.54,Paid,Processing
6,7,3,884.36,Failed,Cancelled
7,29,1,731.86,Paid,Delivered
8,50,1,149.44,Pending,Cancelled
9,87,1,706.25,Failed,Cancelled
10,78,5,282.29,Paid,Delivered
11,56,4,389.84,Paid,Processing
12,65,9,779.97,Pending,Processing
13,42,8,282.89,Pending,Shipped
14,50,6,443.81,Paid,Delivered
15,63,9,834.51,Paid,Delivered
16,90,7,474.25,Pending,Processing
17,66,8,576.54,Paid,Shipped
18,94,2,837.98,Paid,Cancelled
19,34,4,152.42,Failed,Shipped
20,4,6,804.92,Pending,Cancelled
