Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,44,1,16.39,Pending,Shipped
2,17,10,198.8,Pending,Delivered
3,58,10,430.9,Failed,Processing
4,26,3,940.75,Paid,Delivered
5,40,4,214.04,Failed,Delivered
6,23,4,769.47,Paid,Shipped
7,95,10,404.01,Paid,Cancelled
8,31,3,48.8,Failed,Shipped
9,97,2,364.82,Pending,Shipped
10,31,1,186.25,Pending,Delivered
11,30,3,855.04,Failed,Cancelled
12,76,5,141.55,Pending,Delivered
13,82,8,280.49,Paid,Delivered
14,9,1,393.12,Failed,Cancelled
15,20,4,204.18,Failed,Processing
16,27,5,223.82,Paid,Delivered
17,36,7,652.06,Paid,Delivered
18,5,3,791.68,Failed,Shipped
19,59,4,229.7,Paid,Processing
20,1,1,113.78,Failed,Cancelled
