Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,78,4,534.78,Pending,Delivered
2,33,1,264.78,Failed,Delivered
3,82,9,386.01,Pending,Processing
4,50,2,723.48,Paid,Cancelled
5,61,7,652.7,Failed,Cancelled
6,10,8,219.05,Paid,Shipped
7,61,5,52.85,Pending,Cancelled
8,74,2,968.98,Pending,Cancelled
9,37,4,421.59,Pending,Delivered
10,95,10,63.7,Failed,Delivered
11,36,3,111.64,Paid,Delivered
12,82,9,85.15,Pending,Processing
13,78,2,261.1,Paid,Shipped
14,14,9,715.94,Pending,Processing
15,49,8,140.62,Paid,Processing
16,93,2,973.07,Pending,Shipped
17,11,6,98.41,Paid,Processing
18,11,4,975.24,Paid,Processing
19,60,4,346.03,Failed,Delivered
20,45,9,778.82,Pending,Delivered
