Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,48,4,29.72,Paid,Processing
2,70,8,306.4,Paid,Cancelled
3,35,8,291.41,Failed,Cancelled
4,99,2,301.9,Failed,Delivered
5,25,9,383.44,Failed,Delivered
6,93,7,433.09,Failed,Cancelled
7,78,6,255.9,Pending,Delivered
8,72,6,915.53,Paid,Shipped
9,10,5,688.51,Pending,Cancelled
10,51,6,658.7,Paid,Cancelled
11,75,5,901.63,Failed,Delivered
12,62,4,373.7,Pending,Shipped
13,80,6,12.81,Failed,Cancelled
14,39,8,758.19,Paid,Delivered
15,19,9,190.14,Pending,Processing
16,11,7,228.64,Pending,Processing
17,92,2,829.54,Pending,Processing
18,31,3,837.57,Paid,Delivered
19,30,8,462.82,Failed,Cancelled
20,57,1,822.91,Pending,Cancelled
