Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,44,9,298.14,Paid,Processing
2,60,4,17.87,Pending,Delivered
3,26,2,595.53,Pending,Processing
4,53,4,587.74,Pending,Shipped
5,82,2,62.31,Paid,Cancelled
6,3,10,758.82,Pending,Processing
7,50,6,343.29,Pending,Cancelled
8,60,6,33.87,Failed,Cancelled
9,95,9,55.93,Failed,Shipped
10,95,6,344.54,Failed,Delivered
11,60,6,646.8,Paid,Cancelled
12,42,4,932.74,Failed,Processing
13,37,10,466.13,Paid,Cancelled
14,30,9,702.57,Failed,Cancelled
15,34,8,537.59,Failed,Shipped
16,53,6,865.82,Paid,Shipped
17,14,10,802.0,Paid,Delivered
18,13,9,62.68,Failed,Delivered
19,85,2,455.61,Pending,Delivered
20,12,8,864.75,Paid,Processing
