Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,61,3,652.87,Paid,Shipped
2,100,6,447.05,Failed,Cancelled
3,49,6,375.24,Paid,Cancelled
4,64,5,148.24,Failed,Delivered
5,53,3,581.28,Pending,Delivered
6,97,7,203.82,Paid,Shipped
7,42,4,733.95,Pending,Shipped
8,68,3,600.91,Failed,Cancelled
9,83,5,79.67,Failed,Cancelled
10,26,1,491.01,Pending,Delivered
11,76,7,563.92,Pending,Cancelled
12,100,3,716.82,Paid,Shipped
13,23,1,871.58,Pending,Cancelled
14,85,4,512.8,Paid,Cancelled
15,63,7,817.55,Failed,Processing
16,2,5,724.98,Paid,Delivered
17,1,3,389.64,Pending,Shipped
18,6,9,430.19,Failed,Shipped
19,41,10,612.39,Failed,Processing
20,85,2,980.79,Pending,Cancelled
