Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,52,6,979.04,Paid,Processing
2,50,7,923.22,Pending,Cancelled
3,17,4,565.18,Paid,Processing
4,31,4,985.74,Pending,Processing
5,33,3,57.73,Paid,Processing
6,10,9,181.83,Failed,Shipped
7,2,10,914.57,Paid,Cancelled
8,51,8,922.17,Paid,Shipped
9,92,10,457.53,Failed,Processing
10,81,6,827.77,Pending,Delivered
11,58,3,548.26,Failed,Processing
12,5,10,581.16,Paid,Delivered
13,28,10,568.07,Failed,Shipped
14,57,6,859.53,Failed,Shipped
15,12,4,473.82,Pending,Cancelled
16,44,1,349.54,Pending,Shipped
17,16,3,365.41,Paid,Delivered
18,86,10,230.84,Pending,Delivered
19,50,1,452.56,Paid,Shipped
20,57,7,739.05,Failed,Processing
