Lead_id,product_id,quantity,total_amount,payment_status,order_status
1,61,1,582.15,Paid,Cancelled
2,14,7,299.82,Paid,Processing
3,84,5,466.88,Pending,Delivered
4,42,6,797.7,Pending,Cancelled
5,85,2,111.3,Pending,Delivered
6,91,3,491.74,Failed,Processing
7,51,3,701.99,Pending,Cancelled
8,33,8,157.74,Failed,Processing
9,52,7,134.8,Paid,Shipped
10,39,2,960.45,Pending,Processing
11,29,10,850.72,Failed,Shipped
12,22,5,985.66,Failed,Delivered
13,13,4,913.6,Failed,Delivered
14,81,4,343.28,Failed,Shipped
15,60,7,480.47,Failed,Processing
16,16,3,758.46,Failed,Delivered
17,37,8,627.78,Pending,Delivered
18,89,6,86.95,Paid,Delivered
19,40,9,472.72,Failed,Delivered
20,68,10,601.28,Paid,Cancelled
21,41,7,109.7,Failed,Delivered
22,100,5,391.04,Paid,Cancelled
23,90,10,321.64,Pending,Shipped
24,61,6,459.02,Pending,Delivered
25,82,8,411.3,Failed,Shipped
